,company_id,company_name,description,job_id,job_title,locations,locations_count,publish_date,summary
0,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Global Sales Enablement and Activation is the agile team serving as an essential sales productivity function that delivers go to market strategies, just-in-time learning, sales productivity tools, assets and learning opportunities.

As Customer Engineers (CE) Lead, you are an essential pillar of a highly experienced and skilled team driving field enablement and productivity for Google Cloud. You will develop and execute a strategy to enable Google Cloud Customer Engineers at a global scale to support our customers.

You will validate the applicability of the materials provided by subject matter experts such as product management and product marketing to help build new content for sales skills and knowledge areas and communicate expectations before, during and after to ensure learner satisfaction with the scope and depth of what is covered. 

The role requires someone who is adept at working with sales, technical sales and partner team stakeholders helping them to assess their team’s enablement needs and support them with highly innovative, measurable learning and enablement programs and assets.  The role requires planning, coordination, production and execution of assets and strategies to enable the sales teams. </p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/86234559940567750,"Customer Engineers Lead, Enablement & Activation, Google Cloud","['Sunnyvale, CA, USA', 'Seattle, WA, USA', 'Kirkland, WA, USA', 'New York, NY, USA', 'San Francisco, CA, USA']",5,2020-03-03T18:01:12.040Z,"<ul>
<li>6 years of experience developing sales enablement for a tech company, within a company with a large sales team, or for a public training provider. </li>
<li>6 years of field sales/pre-sale experience.</li>
<li>Experience in program and project management.</li>
<li>Experience developing and leading Global Enablement programs and projects for a technical/pre-sales audience.</li>
</ul>"
1,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Core Developer brings together different aspects of the developer experience in a single organization: Source Management, Build/Test/Release, Languages, Platforms, Frameworks, Mobile services, and Firebase.</p>

<p>As Director, Site Reliability Engineering (SRE), you will coordinate SRE engagement needs across the organization. You will provide a single interface to engineering leadership and partner with UX and Product to ensure overall product success.</p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/77616872385585862,"Director, Site Reliability Engineering, Core Developer","['New York, NY, USA']",1,2019-11-14T17:32:54.964Z,"<ul>
<li>Bachelor’s degree in Computer Science, related technical field or equivalent practical experience. </li>
<li>15 years of experience with system design, algorithms, data structures, analysis, and software design. 
</li>
<li>15 years of experience managing a distributed team of engineers. Experience growing and building teams. </li>
<li>Experience conducting technical deep-dives into code. </li>
</ul>"
2,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>The Google Cloud team helps companies seamlessly make the switch to Google products and supports them along the way. You swiftly problem-solve technical issues for customers to show how our products can make businesses more productive, collaborative, and innovative. You work closely with a cross-functional team of web developers and systems administrators, not to mention a variety of both regional and international customers. Your relationships with customers are crucial in helping Google grow its Google Cloud business and in bringing our product portfolio into companies around the world.</p>
<p>As a Manager of Google Cloud Technical Solutions Engineers, you'll develop team members into skilled troubleshooting experts and cross-functional leaders who not only diagnose a wide variety of G Suite problems within minutes, but also treat each problem as an input for product innovation.

You'll be a part of a global team that provides 24x7 support to help customers seamlessly make the switch to Google Cloud. When customers cannot resolve issues themselves, your job is to ensure that we have the necessary tools and processes to swiftly resolve the issue with as little customer effort as possible.

You'll build relationships with leaders in G Suite Software Engineering, Product Management and Site Reliability Engineering which will allow you to increase instrumentation and supportability on the platform, increase the product suite’s self help capabilities. You're expected to become a trusted source of data-supported customer feedback. You'll lead excellent operations within the team, with a focus on reliable execution. You will also lead a functional area across the global team.</p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/93151872174432966,"Manager, Google Cloud Technical Solutions Engineering","['Austin, TX, USA']",1,2019-10-31T22:28:45.836Z,"<ul>
<li>Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.</li>
<li>5 years of experience in technical support engineering or similar role.</li>
<li>1 year of experience leading a technical, customer-facing team (team lead or manager).</li>
</ul>"
3,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.<p>Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices &amp; Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices &amp; Services team is making people's lives better through technology.</p>",jobs/97656632206336710,Module Engineering Program Manager,"['Mountain View, CA, USA']",1,2020-02-18T21:01:06.740Z,"<ul>
<li>Bachelor's degree or equivalent practical experience.</li>
<li>3 years of experience in Electrical Engineering, Mechanical Engineering, or a related field.</li>
<li>Experience in consumer electronics program management.</li>
</ul>"
4,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Our team brings Google scale to key Google and Alphabet investments in M&amp;A and business ventures. We refine our strategic “Bets” and infrastructure by executing efficiently, bringing business sense and sound judgment and working effectively across organizational lines to integrate and build the future of Google.
 
Our roles often include components of strategy (e.g. analyzing and understanding the new businesses Google is investing in), operations (e.g. running the cadence of integrations,, connecting the operating lines between our functions), and communications. Our team partners with senior executives to run important functions that cross-cut our existing organizations and deliver high impact projects. We help Engineers, PMs, UX, and all of our other functions integrate amazing products that delight our users, and then get those products into their hands.</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/142550730587153094,"Manager, Application Engineering","['Sunnyvale, CA, USA']",1,2019-10-31T22:28:18.049Z,"<ul>
<li>Bachelor's degree in Computer Science or other related technical field, or equivalent practical experience.
</li>
<li>8 years of experience implementing and integrating with third-party software through full system implementation life-cycles (i.e., analyze, design, build, test, implement, support).</li>
<li>Experience working with one or more general purpose programming languages (including Java, JavaScript or Python, C, C++, ABAP).</li>
</ul>"
5,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.<br><br>Through your leadership, you use your technical expertise and manage a team of engineers to build key business applications. You gather requirements, lead technical projects, define the scope of those projects and partner across teams to address technical problems and ensure smooth solution implementation.</p>
<p>As an Application Engineering Manager, you'll help drive projects to improve finance processes that the company manages through the business applications it builds and uses. You are an experienced manager. You have the ability and interest to work on a range of different types of projects and business processes, and have a background that demonstrates this ability.</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.<br></p>",jobs/94237090151047878,"Manager, Fixed Assets Application Engineering","['Austin, TX, USA']",1,2019-10-31T22:23:12.833Z,"<ul>
<li>Bachelor's degree in Computer Science or a related technical field, or equivalent practical experience.</li>
<li>15 years of experience managing Information Technology teams.</li>
</ul>"
6,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google Cloud is widely recognized as a global leader in delivering a secure, open, and intelligent enterprise cloud platform. Today, customers across more than 150 countries trust Google Cloud to modernize their computing environment for today’s digital world. We are helping thousands of organizations, including many of the world’s largest companies, transform their businesses.</p>

<p>As the Director of Engineering, Sales Systems, for Google Cloud, you will be responsible for defining the roadmap and executing the delivery of systems and business applications supporting the sales teams at Google Cloud. You will oversee a multi-functional team comprised of software engineers, business system analysts, project managers, and quality assurance professionals. This role requires a diverse set of skills and experiences, ranging from expertise in industry best practices for sales, to a strong software engineering and product development background, to the ability to work within a cross-functional environment. You have a passion for identifying technical solutions for business problems and a track record in delivering innovative systems, rooted in user experience research and engineering excellence.
</p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/107365258986693318,"Director of Engineering, Sales Systems, Google Cloud","['Sunnyvale, CA, USA']",1,2019-10-31T22:21:33.467Z,"<ul>
<li>Bachelor’s degree in Computer Science or equivalent practical experience.
</li>
<li>10 years of experience in software development leadership.</li>
<li>8 years of experience in sales systems, either in product development or in IT operations.</li>
</ul>"
7,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>The Google Cloud Platform team helps customers transform and evolve their business through the use of Google’s global network, web-scale data centers and software infrastructure. As part of an entrepreneurial team in this rapidly growing business, you will help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.</p>

<p>As a Sales Engineering Manager, you will help our client make their work more productive, mobile, and collaborative with our products. You'll assist fellow Sales Googlers by problem-solving key technical issues for our customers. Additionally, you will liaise with the Product Marketing Management and Engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products.<br><br>As a Customer Engineering Manager for Financial Services, you will serve as an executive leading a team to understand and assess customer requirements, prepare and present demonstrations of Google’s Cloud technologies, and address and overcome technical objections. You'll lead efforts to drive solution innovation, working across the organization to identify the right assets and tools to drive customer adoption. Additionally, you'll leverage the Google Cloud Platform to bring legacy financial systems into the Cloud, allowing better insights into customer needs and growth opportunities within financial markets.<br><br>In this role, you'll develop new relationships with business unit leaders to more deeply understand their challenges, demonstrating deep industry understanding and communicating the business value of “One Google”. You will wield the innovative power of our products and solutions to make organizations more productive, collaborative, and mobile.</p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers &amp; developers see the benefits of our technology come to life.</p>",jobs/135716166308897478,"Sales Engineering Manager, Financial Services, Google Cloud","['New York, NY, USA']",1,2019-10-31T22:29:39.045Z,"<ul>
<li>Bachelor's degree in Computer Science or equivalent practical experience.</li>
<li>10 years of experience in quota carrying software sales and strategic account management at enterprise B2B software companies, engaging with accounts, and selling cloud products.</li>
<li>Experience in the Financial Services industry.</li>
<li>Experience managing teams.</li>
</ul>"
8,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>As a Senior Director within the Site Reliability Engineering (SRE) team you’ll manage the production infrastructure for our application modernization platform and Developer family of products: GKE, Istio, Anthos, Serverless (App Engine, Cloud Run), Cloud Build, Monitoring and Logging, as well as the API, Billing and Console infrastructure for all of Cloud, and the Customer Reliability Engineering (CRE) team. You will apply engineering leadership and deep knowledge of infrastructure and software development at scale to lead the operation and evolution of these services. You will also lead Google Cloud’s ability to provide organizations with the best infrastructure, platform, industry solutions, and expertise for digital transformation and inspire and lead a global team to keep services running efficiently, and reliably, while maximizing feature velocity. <br><br>Application modernization is a rapidly-growing area, and is a differentiator for the Google Cloud Platform (GCP). As customers migrate to the Cloud, they are typically looking for higher levels of abstraction and to delegate service management to their Cloud provider. As such, we expect this area to continue its growth over the next few years. CRE provides a unique opportunity to influence the industry's approach to reliable, large-scale services, while influencing GCP engineering with the distinctive voice of the customer.</p><p>Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.</p>",jobs/98161729218716358,"Senior Director, Site Reliability Engineering","['Sunnyvale, CA, USA']",1,2020-03-05T17:31:17.266Z,"<ul>
<li>Bachelor’s degree in Computer Science or equivalent practical experience.</li>
<li>Experience in system design, algorithms, data structures, complexity analysis, and software design and/or experience in Unix/Linux systems, IP networking, performance, and application issues.</li>
<li>10 years of experience managing  teams of software engineers.</li>
</ul>"
9,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>gTech’s Professional Services team takes a creative, collaborative, and customer-centric approach to provide foundational services and forward-looking business solutions to top advertiser and publisher customers. Through technical implementation, optimization, and key solutions, gTech Professional Services helps customers attain their business goals while building long-term capabilities.</p>
<p>The Global Client and Agency Solutions Customer Solutions Engineering team is responsible for developing innovative, cutting-edge solutions to the business problems faced by advertisers. Your solutions will take many forms, from prototypes and demos to education - all with the technology resources of Google to back it up.</p>

<p>In this role, you'll be responsible for identifying and prioritizing your own projects. You will see the unique business challenges faced by our largest advertisers, and you will be given the opportunity to develop solutions no one else has. Working across the entire organization, you will have the chance to leverage your wide-ranging experience and skill-set to find the best solution for the problems at hand.</p><p>Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.<br><br>To learn more about gTech, check out our <a href=""https://www.youtube.com/watch?v=HcjR6ZngQcw"">video</a>.</p>",jobs/96699996197266118,Customer Solutions Engineer,"['New York, NY, USA', 'Boulder, CO, USA']",2,2019-11-12T20:22:45.714Z,"<ul>
<li>Bachelor's degree in Computer Science, or equivalent practical experience.</li>
<li>3 years of experience with systems design and/or coding in a general purpose programming language (e.g. Java, C/C++, Python).</li>
<li>Experience working with web technologies including HTML, CSS, JavaScript and HTTP.</li>
<li>Customer-facing experience translating technical concepts and solutions to non-technical and executive audiences.</li>
</ul>"
